store,address,phone,address2,geocoding,x,y,note
논현팍스타워점,서울시 강남구 논현 231-13호 팍스타워지하1층  ,02-513-3870,서울특별시 강남구 논현 231-13호 팍스타워지하1층,서울특별시 강남구 논현 231-13호 팍스타워지하1층,127.03667982646452,37.50994029161989,
삼성오크우드점,서울 강남구 영동대로 513 컨벤션별관A동 지하 2층  ,02-3466-8507,서울특별시 강남구 영동대로 513 컨벤션별관A동 지하 2층,서울특별시 강남구 영동대로 513 컨벤션별관A동 지하 2층,127.05915520480393,37.51183229337543,
트레이드타워점,서울시 강남구 영동대로 511 트레이드타워 지하1층  ,02-6002-6470,서울특별시 강남구 영동대로 511 트레이드타워 지하1층,서울특별시 강남구 영동대로 511 트레이드타워 지하1층,127.06103158462088,37.51035369172277,
삼성봉은사거리점,서울시 강남구 영동대로 607 12번지 1&2층  ,02-3443-5618,서울특별시 강남구 영동대로 607 12번지 1&2층,서울특별시 강남구 영동대로 607 12번지 1&2층,127.05948536869255,37.51454414955278,
대치포스코뒷점,서울시 강남구 삼성로 85길 11 롯데캐슬아파트생활편익시설동  ,02-3453-8077,서울특별시 강남구 삼성로 85길 11 롯데캐슬아파트생활편익시설동,서울특별시 강남구 삼성로 85길 11 롯데캐슬아파트생활편익시설동,127.05618636748265,37.504598674685916,
반포엘루체점,서울시 서초구 신반포로 23 1141호 엘루체백화점내1층1013~1015호  ,02-3477-5571,서울특별시 서초구 신반포로 23 1141호 엘루체백화점내1층1013~1015호,서울특별시 서초구 신반포로 23 1141호 엘루체백화점내1층1013~1015호,126.98723188444377,37.50174614899513,
잠실신천점,서울시 송파구 석촌호수로 118 1층  ,02-416-9520,서울특별시 송파구 석촌호수로 118 1층,서울특별시 송파구 석촌호수로 118 1층,127.09001694480418,37.50743392470356,
서초지파이브점,서울시 서초구 서초동 1685-8호 101~2호&113~4호&121호  ,02-3477-5580,서울특별시 서초구 서초동 1685-8호 101~2호&113~4호&121호,서울특별시 서초구 서초동 1685-8호 101~2호&113~4호&121호,127.01639699176965,37.495411626507234,
논현동수면센터점,서울시 강남구 논현로 717 1층  ,02-3443-5575,서울특별시 강남구 논현로 717 1층,서울특별시 강남구 논현로 717 1층,127.0295339873507,37.515961001918875,
삼성전자강남사옥점,서울시 서초구 서초대로74길 11 지하2층  ,02-2055-1142,서울특별시 서초구 서초대로74길 11 지하2층,서울특별시 서초구 서초대로74길 11 지하2층,127.02691412193253,37.496635067760415,
삼성생명강남사옥점,서울시 서초구 서초대로74길 4 삼성생명보험서초타워내지하1층  ,02-581-5562,서울특별시 서초구 서초대로74길 4 삼성생명보험서초타워내지하1층,서울특별시 서초구 서초대로74길 4 삼성생명보험서초타워내지하1층,127.02570415446293,37.496743458014684,
방배카페골목점,서울특별시 서초구 방배중앙로 187  ,02-592-7794,서울특별시 서초구 방배중앙로 187,서울특별시 서초구 방배중앙로 187,126.98553666503179,37.49570921130823,
역삼포스틸타워뒷점,서울시 강남구 테헤란로 20길 10 쓰리엠타워1층  ,02-554-9962,서울특별시 강남구 테헤란로 20길 10 쓰리엠타워1층,서울특별시 강남구 테헤란로 20길 10 쓰리엠타워1층,127.03414133908974,37.499083937609136,
테헤란로하이닉스뒷점,서울시 강남구 테헤란로 70길 12 1층  ,02-538-9927,서울특별시 강남구 테헤란로 70길 12 1층,서울특별시 강남구 테헤란로 70길 12 1층,127.05315548330184,37.50474423826474,
방배역점,서울시 서초구 효령로 117  3&4층  ,02-521-4562,서울특별시 서초구 효령로 117 3&4층,서울특별시 서초구 효령로 117 3&4층,126.99694733461315,37.48146512279432,
삼성봉은사로점,서울시 강남구 봉은사로 628 엘슨빌딩1층  ,02-538-4523,서울특별시 강남구 봉은사로 628 엘슨빌딩1층,서울특별시 강남구 봉은사로 628 엘슨빌딩1층,127.06416829262966,37.51466783885848,
방이점,서울시 송파구 오금로 11길 7  ,02-415-5561,서울특별시 송파구 오금로 11길 7,서울특별시 송파구 오금로 11길 7,127.10796498650932,37.51455483575742,
매봉역점,서울시 강남구 논현로 38길 42 418호  ,02-529-9947,서울특별시 강남구 논현로 38길 42 418호,서울특별시 강남구 논현로 38길 42 418호,127.04505754616952,37.485574180084974,
남부터미널역점,서울시 서초구 서초중앙로 43 로얄타워1층  ,02-523-3671,서울특별시 서초구 서초중앙로 43 로얄타워1층,서울특별시 서초구 서초중앙로 43 로얄타워1층,127.01558074506273,37.4855366939717,
강남역랭기지타워점,서울시 강남구 테헤란로4길 28 826-28호 1층  ,02-563-3655,서울특별시 강남구 테헤란로4길 28 826-28호 1층,서울특별시 강남구 테헤란로4길 28 826-28호 1층,127.03009175390997,37.49652618029511,
도심공항타워점,서울시 강남구 테헤란로87길 36 공항타워 1층  ,02-2016-5330,서울특별시 강남구 테헤란로87길 36 공항타워 1층,서울특별시 강남구 테헤란로87길 36 공항타워 1층,127.05859973169561,37.51023779261574,
청담카페점,서울시 강남구 도산대로 67길 7&파크빌딩 1층  ,02-514-5622,서울특별시 강남구 도산대로 67길 7&파크빌딩 1층,서울특별시 강남구 도산대로 67길 7&파크빌딩 1층,127.04439086745903,37.52448885074072,
동부이촌동점,서울시 용산구 이촌로 303 현대아파트상가11동102호  ,02-792-3677,서울특별시 용산구 이촌로 303 현대아파트상가11동102호,서울특별시 용산구 이촌로 303 현대아파트상가11동102호,126.9811545158088,37.518909472168424,
광화문점,서울 종로구 서린동 136 센트리얼빌딩 1층  ,02-3210-2326,서울특별시 종로구 서린동 136 센트리얼빌딩 1층,서울특별시 종로구 서린동 136 센트리얼빌딩 1층,126.9788551562598,37.56981554477425,
대학로점,서울시 종로구 대학로 10길 5 1-60호  ,02-762-3146,서울특별시 종로구 대학로 10길 5 1-60호,서울특별시 종로구 대학로 10길 5 1-60호,127.00258126402511,37.58186370694923,
경희궁의아침점,서울시 종로구 새문안로3길 23 경희궁아침상가4단지105외  ,02-730-8896,서울특별시 종로구 새문안로3길 23 경희궁아침상가4단지105외,서울특별시 종로구 새문안로3길 23 경희궁아침상가4단지105외,126.97223220688201,37.57260725792388,
홍대역점,서울시 마포구 홍익로 6길 26  ,02-333-4278,서울특별시 마포구 홍익로 6길 26,서울특별시 마포구 홍익로 6길 26,126.9232684487891,37.55546666063922,
종로관철동점,서울시 종로구 청계천로 83 11-4호 지하1&지상1~3층  ,02-738-5333,서울특별시 종로구 청계천로 83 11-4호 지하1&지상1~3층,서울특별시 종로구 청계천로 83 11-4호 지하1&지상1~3층,126.98673377112543,37.56848321959446,
소공동삼화빌딩점,서울 중구 남대문로7길 16 한컴빌딩 1층  ,02-753-8004,서울특별시 중구 남대문로7길 16 한컴빌딩 1층,서울특별시 중구 남대문로7길 16 한컴빌딩 1층,126.98116575849872,37.564166691924605,
강변테크노마트점,서울시 광진구 광나루로56길 85 테크노마트9층35호  ,02-3424-5480,서울특별시 광진구 광나루로56길 85 테크노마트9층35호,서울특별시 광진구 광나루로56길 85 테크노마트9층35호,127.09569679572392,37.53572093827582,
외대앞점,서울시 동대문구 이문로 106 1~3층  ,02-959-7750,서울특별시 동대문구 이문로 106 1~3층,서울특별시 동대문구 이문로 106 1~3층,127.06021828945507,37.59606603536706,
고대안암역점,서울시 성북구 개운사길8 101-3 1층  ,02-953-6652,서울특별시 성북구 개운사길8 101-3 1층,서울특별시 성북구 개운사길8 101-3 1층,127.02957334916114,37.58698668189114,
순화동라마다호텔점,서울시 중구 칠패로 27 151호  ,02-3789-3347,서울특별시 중구 칠패로 27 151호,서울특별시 중구 칠패로 27 151호,126.97204438137813,37.56026356926629,
왕십리민자역사점,서울시 성동구 왕십리 광장로 17 왕십리민자역사ENTER6내1층  ,02-2200-6120,서울특별시 성동구 왕십리 광장로 17 왕십리민자역사ENTER6내1층,서울특별시 성동구 왕십리 광장로 17 왕십리민자역사ENTER6내1층,127.03839147760182,37.56144094285114,
신촌역앞점,서울시 서대문구 신촌역로 20  27-27&16&65&61호  ,02-312-5568,서울특별시 서대문구 신촌역로 20 27-27&16&65&61호,서울특별시 서대문구 신촌역로 20 27-27&16&65&61호,126.94313949293273,37.55836109347611,
세종문화회관옆점,서울 종로구 새문안로 9길 25 1층  ,02-720-5561,서울특별시 종로구 새문안로 9길 25 1층,서울특별시 종로구 새문안로 9길 25 1층,126.97548144059087,37.57134658433717,
신촌점,서울시 서대문구 창천 18-26호 B1  ,02-363-5572,서울특별시 서대문구 창천 18-26호 B1,서울특별시 서대문구 창천 18-26호 B1,126.93730121458397,37.55633990373911,
건대스타시티점,서울시 광진구 자양동 227-342호 롯데백화점 옆 더클래식500건물 1층  ,02-444-9861,서울특별시 광진구 자양동 227-342호 롯데백화점 옆 더클래식500건물 1층,서울특별시 광진구 자양동 227-342호 롯데백화점 옆 더클래식500건물 1층,127.07121565838261,37.538999859786955,
하나은행경복궁역점,서울시 종로구 사직로 130&1 현대적선빌딩1층  ,02-733-5108,서울특별시 종로구 사직로 130&1 현대적선빌딩1층,서울특별시 종로구 사직로 130&1 현대적선빌딩1층,126.97332925694258,37.57536455490468,
중계동은행사거리점,서울시 노원구 한글비석로 263 1층  ,02-931-3055,서울특별시 노원구 한글비석로 263 1층,서울특별시 노원구 한글비석로 263 1층,127.0764786717217,37.65121504359602,
서울스퀘어점,서울시 중구 한강대로 416 지하1층  ,02-6456-8907,서울특별시 중구 한강대로 416 지하1층,서울특별시 중구 한강대로 416 지하1층,126.97375507748575,37.55550669645782,
목동점,서울시 양천구 목동동로 293 현대41타워1층  ,02-2654-5981,서울특별시 양천구 목동동로 293 현대41타워1층,서울특별시 양천구 목동동로 293 현대41타워1층,126.87576961080605,37.52818002332732,
여의도34번지점,서울 영등포구 국제금융로 52 심팩빌딩 1층  ,02-783-2043,서울특별시 영등포구 국제금융로 52 심팩빌딩 1층,서울특별시 영등포구 국제금융로 52 심팩빌딩 1층,126.92951249127071,37.52272821447928,
여의도교보증권점,서울시 영등포구 의사당대로 97 26-4 교보증권빌딩1층  ,02-783-6058,서울특별시 영등포구 의사당대로 97 26-4 교보증권빌딩1층,서울특별시 영등포구 의사당대로 97 26-4 교보증권빌딩1층,126.92459182256933,37.52250893470141,
시흥홈플러스점,서울시 금천구 시흥대로 201 1층  ,02-803-9994,서울특별시 금천구 시흥대로 201 1층,서울특별시 금천구 시흥대로 201 1층,126.90079353610369,37.45190639716076,
여의도순복음교회옆점,서울시 영등포구 여의서로 43 한서리버파크2층  ,02-780-7758,서울특별시 영등포구 여의서로 43 한서리버파크2층,서울특별시 영등포구 여의서로 43 한서리버파크2층,126.92475312787258,37.530852314647326,
부산광복동점,부산광역시 중구 창선동 2가 8-2  ,051-243-9105,부산광역시 중구 창선동 2가 8-2,부산광역시 중구 창선동 2가 8-2,129.02899465687494,35.09946710756965,
인천구월동점,인천광역시 남동구 예술로 138 지상1&2층  ,032-421-3418,인천광역시 남동구 예술로 138 지상1&2층,인천광역시 남동구 예술로 138 지상1&2층,126.7010247565225,37.446217869354214,
대전탄방동점,대전시 서구 문정로76 1층  ,042-471-9805,대전광역시 서구 문정로76 1층,대전광역시 서구 문정로76 1층,127.38768864421563,36.346420316536154,
일산라페스타점,경기도 고양시 일산동구 장항동 764 라페스타C동  ,031-907-2326,경기도 고양시 일산동구 장항동 764 라페스타C동,경기도 고양시 일산동구 장항동 764 라페스타C동,126.76879902203348,37.66132049073023,
일산웨스턴돔1호점,경기도 고양시 일산동구 정발산로 24 I동103~203호  ,031-931-5573,경기도 고양시 일산동구 정발산로 24 I동103~203호,경기도 고양시 일산동구 정발산로 24 I동103~203호,126.77204559610539,37.65590290964603,
분당서현점,경기도 성남시 분당구 분당로53번길 11 1층2&3호  ,031-705-8926,경기도 성남시 분당구 분당로53번길 11 1층2&3호,경기도 성남시 분당구 분당로53번길 11 1층2&3호,127.12155327240347,37.38406589180886,
분당플라자점,경기도 성남시 분당구 황새울로 326 서현빌딩상가내2층  ,031-705-3188,경기도 성남시 분당구 황새울로 326 서현빌딩상가내2층,경기도 성남시 분당구 황새울로 326 서현빌딩상가내2층,127.12185986355266,37.385128783684515,
분당수내점,경기도 성남시 분당구 황새울로 214번길8 MSPlaza내1층  ,031-713-9937,경기도 성남시 분당구 황새울로 214번길8 MSPlaza내1층,경기도 성남시 분당구 황새울로 214번길8 MSPlaza내1층,127.11231924343562,37.37812826513331,
동탄라마다호텔점,경기도 화성시 노작로 199 동탄라마다호텔107호~111호  ,031-8003-8374,경기도 화성시 노작로 199 동탄라마다호텔107호~111호,경기도 화성시 노작로 199 동탄라마다호텔107호~111호,127.07467514709653,37.20583456632617,
일산킨텍스현대백화점점,경기도 고양시 일산서구 대화동 2602 현대백화점킨텍스점 5F  ,031-822-3575,경기도 고양시 일산서구 대화동 2602 현대백화점킨텍스점 5F,경기도 고양시 일산서구 대화동 2602 현대백화점킨텍스점 5F,126.75164072854419,37.66799790391858,
창원상남동점,경남 창원시 성산구 중앙대로 104 마이우스오피스텔 123호 207호  ,055-211-0737,경상남도 창원시 성산구 중앙대로 104 마이우스오피스텔 123호 207호,경상남도 창원시 성산구 중앙대로 104 마이우스오피스텔 123호 207호,128.68081963892718,35.22348746655865,
청주점,충북 청주시 상당구 상당로69번길20 2~4층  ,043-221-2373,충청북도 청주시 상당구 상당로69번길20 2~4층,충청북도 청주시 상당구 상당로69번길20 2~4층,127.48929860792354,36.63453263673838,
청주지웰시티점,충북 청주시 흥덕구 대농로 17 지웰시티몰 1층 124-1&125&126호  ,043-238-3151,충청북도 청주시 흥덕구 대농로 17 지웰시티몰 1층 124-1&125&126호,충청북도 청주시 흥덕구 대농로 17 지웰시티몰 1층 124-1&125&126호,127.42510834814291,36.64274496438909,
무교CBTL점,서울 중구 세종대로 136 파이낸스빌딩  ,070-4140-7003,서울특별시 중구 세종대로 136 파이낸스빌딩,서울특별시 중구 세종대로 136 파이낸스빌딩,126.97825562828291,37.56841889278973,
국기원사거리점,서울시 강남구 테헤란로 8길 42 1층  ,02-552-7106 ,서울특별시 강남구 테헤란로 8길 42 1층,서울특별시 강남구 테헤란로 8길 42 1층,127.0321610355201,37.49614721229232,
남대문점,서울시 중구 후암로110 581호 서울시티타워1층  ,02-777-4217,서울특별시 중구 후암로110 581호 서울시티타워1층,서울특별시 중구 후암로110 581호 서울시티타워1층,126.97404974707779,37.55429942466452,
올림픽플라자,서울시 송파구 양재대로 1222 올림픽선수A 1층212~3호  ,02-402-3571,서울특별시 송파구 양재대로 1222 올림픽선수A 1층212~3호,서울특별시 송파구 양재대로 1222 올림픽선수A 1층212~3호,127.13106441277795,37.515729797198276,
대학로마로니에점,서울시 종로구 대학로 12길 62 지하1층&지상1&2층  ,02-742-3318,서울특별시 종로구 대학로 12길 62 지하1층&지상1&2층,서울특별시 종로구 대학로 12길 62 지하1층&지상1&2층,127.00371337454496,37.58140417000913,
여의도역점,서울시 영등포구 의사당대로 108 아일렉스상가 1층 101호  ,02-784-5531,서울특별시 영등포구 의사당대로 108 아일렉스상가 1층 101호,서울특별시 영등포구 의사당대로 108 아일렉스상가 1층 101호,126.92399378530808,37.521012887058596,
인사점,서울시 종로구 낙원동 272 오라카이스위츠 1층  ,02-6262-8100,서울특별시 종로구 낙원동 272 오라카이스위츠 1층,서울특별시 종로구 낙원동 272 오라카이스위츠 1층,126.98734425148416,37.572988263118646,
테헤란로비젼타워점,서울시 강남구 테헤란로 312 707-2번지1층  ,02-558-7101,서울특별시 강남구 테헤란로 312 707-2번지1층,서울특별시 강남구 테헤란로 312 707-2번지1층,127.04504535910527,37.50293658829913,
서울대입구역점,서울시 관악구 관악로 161 층일부 2&3층  ,02-882-3101,서울특별시 관악구 관악로 161 층일부 2&3층,서울특별시 관악구 관악로 161 층일부 2&3층,126.95217609372224,37.47960841508025,
코엑스인터점,서울시 강남구 봉은사로 524 코엑스 인터컨티넨탈아케이드  ,02-569-3103,서울특별시 강남구 봉은사로 524 코엑스 인터컨티넨탈아케이드,서울특별시 강남구 봉은사로 524 코엑스 인터컨티넨탈아케이드,127.05712012278579,37.51295054012817,
수유역점,서울시 강북구 도봉로 352 효성네오인텔리안 101호  ,02-906-5571,서울특별시 강북구 도봉로 352 효성네오인텔리안 101호,서울특별시 강북구 도봉로 352 효성네오인텔리안 101호,127.02704458726245,37.63867701799202,
뉴압구정점,서울시 강남구 논현로 167길 9 낙산프라자 1층  ,02-545-3181,서울특별시 강남구 논현로 167길 9 낙산프라자 1층,서울특별시 강남구 논현로 167길 9 낙산프라자 1층,127.02742185737517,37.52442192943384,
디큐브시티점,서울시 구로구 경인로 662 디큐브시티 4층  ,02-2210-9484,서울특별시 구로구 경인로 662 디큐브시티 4층,서울특별시 구로구 경인로 662 디큐브시티 4층,126.88822144322839,37.50811812022276,
삼청동점,서울시 종로구 삼청로 109  ,02-730-5177,서울특별시 종로구 삼청로 109,서울특별시 종로구 삼청로 109,126.98177185613636,37.58513293362301,
충무로극동빌딩점,서울시 중구 퇴계로 173 남산스퀘어 1층  ,02-2273-3181,서울특별시 중구 퇴계로 173 남산스퀘어 1층,서울특별시 중구 퇴계로 173 남산스퀘어 1층,126.99105854255451,37.56182526475249,
현대자동차여의도점,서울시 영등포구 국제금융로 20 1층  ,02-783-3391,서울특별시 영등포구 국제금융로 20 1층,서울특별시 영등포구 국제금융로 20 1층,126.92729316577324,37.524889274632166,
포스코사거리점,서울시 강남구 테헤란로 439  ,02-508-7522 ,서울특별시 강남구 테헤란로 439,서울특별시 강남구 테헤란로 439,127.05519276323682,37.50683363585929,
선릉로93길점,서울시 강남구 선릉로93길 6(역삼동) 1층  ,02-552-3177,서울특별시 강남구 선릉로93길 6(역삼동) 1층,서울특별시 강남구 선릉로93길 6(역삼동) 1층,127.04789708377687,37.50568353287672,
강남역먹자골목점,서울시 강남구 테헤란로1길 29 1층일부 및 2.3층  ,02-552-6311,서울특별시 강남구 테헤란로1길 29 1층일부 및 2.3층,서울특별시 강남구 테헤란로1길 29 1층일부 및 2.3층,127.02729987542467,37.50011286374968,
삼성로점,서울시 강남구 삼성로 551 1층&2층  ,02-552-9311 ,서울특별시 강남구 삼성로 551 1층&2층,서울특별시 강남구 삼성로 551 1층&2층,127.05414373264433,37.51070844147134,
서초우성아파트앞점,서울시 서초구 사임당로 171(서초동) EWR빌딩 2층  ,02-522-7158 ,서울특별시 서초구 사임당로 171(서초동) EWR빌딩 2층,서울특별시 서초구 사임당로 171(서초동) EWR빌딩 2층,127.02834881742253,37.492724362201386,
선릉로86길점,서울시 강남구 선릉로86길 11  ,02-2051-8875,서울특별시 강남구 선릉로86길 11,서울특별시 강남구 선릉로86길 11,127.05053071002908,37.503366851925236,
안국역점,서울시 종로구 율곡로 47 1&2층  ,02-722-3356 ,서울특별시 종로구 율곡로 47 1&2층,서울특별시 종로구 율곡로 47 1&2층,126.98459280354743,37.57633963636241,
뉴교보타워옆점,서울시 서초구 강남대로 449-3 알고코리아빌딩 1&2층  ,02-591-5177,서울특별시 서초구 강남대로 449-3 알고코리아빌딩 1&2층,서울특별시 서초구 강남대로 449-3 알고코리아빌딩 1&2층,127.02488049854803,37.50235690280889,
IFC MALL2호점,서울시 영등포구 국제금융로10 IFC B2층  ,02-6137-5054  ,서울특별시 영등포구 국제금융로10 IFC B2층,서울특별시 영등포구 국제금융로10 IFC B2층,126.92488326073102,37.52518509717874,
상암SBS미디어센터점,서울시 마포구 상암산로 82 SBS프리즘타워 1층  ,02-2039-9027 ,서울특별시 마포구 상암산로 82 SBS프리즘타워 1층,서울특별시 마포구 상암산로 82 SBS프리즘타워 1층,126.89276742656655,37.57971571494278,
마리오아울렛점,서울시 금천구 디지털로9길 23 마리오-2관 패션타워3층  ,02-857-5501  ,서울특별시 금천구 디지털로9길 23 마리오-2관 패션타워3층,서울특별시 금천구 디지털로9길 23 마리오-2관 패션타워3층,126.88647894360868,37.47871661084337,
삼성금융플라자점,서울 강남구 테헤란로 419 삼성금융플라자1층  ,02-554-7591,서울특별시 강남구 테헤란로 419 삼성금융플라자1층,서울특별시 강남구 테헤란로 419 삼성금융플라자1층,127.05218363534642,37.5058709281034,
명동나인트리호텔점,서울시 중구 명동10길 51 나인트리호텔 본관2층  ,02-771-9935 ,서울특별시 중구 명동10길 51 나인트리호텔 본관2층,서울특별시 중구 명동10길 51 나인트리호텔 본관2층,126.98602194268193,37.56159051675004,
이태원점,서울시 용산구 이태원로 189   ,02-794-3361,서울특별시 용산구 이태원로 189,서울특별시 용산구 이태원로 189,126.99491991410055,37.534849592004036,
뉴가로수길점,서울시 강남구 압구정로12길 6  ,02-544-7105,서울특별시 강남구 압구정로12길 6,서울특별시 강남구 압구정로12길 6,127.02231958804454,37.523531011449386,
서초뱅뱅사거리점,서울시 서초구 강남대로 267 2&3층  ,02-523-8841 ,서울특별시 서초구 강남대로 267 2&3층,서울특별시 서초구 강남대로 267 2&3층,127.03233809654866,37.48716412053679,
현대자동차성내점,서울시 강동구 천호대로 1096 1&2F  ,02-485-3361 ,서울특별시 강동구 천호대로 1096 1&2F,서울특별시 강동구 천호대로 1096 1&2F,127.13323687273288,37.53519801110498,
신림점,서울시 관악구 신림로 318 청암두산위브센티움1층  ,02-877-1194  ,서울특별시 관악구 신림로 318 청암두산위브센티움1층,서울특별시 관악구 신림로 318 청암두산위브센티움1층,126.93038685981176,37.48261596628313,
수원인계점,경기도 수원시 팔달구 권광로 195 학산빌딩1층   ,031-233-5631,경기도 수원시 팔달구 권광로 195 학산빌딩1층,경기도 수원시 팔달구 권광로 195 학산빌딩1층,127.03268250840564,37.26494422381663,
판교아브뉴프랑점,경기도 성남시 분당구 동판교로177번길 25  ,031-8016-8131,경기도 성남시 분당구 동판교로177번길 25,경기도 성남시 분당구 동판교로177번길 25,127.11356757435657,37.39731885895881,
일산원마운트점,경기도 고양시 일산서구 한류월드로 300 원마운트스포츠몰 1층  ,031-961-6520,경기도 고양시 일산서구 한류월드로 300 원마운트스포츠몰 1층,경기도 고양시 일산서구 한류월드로 300 원마운트스포츠몰 1층,126.75453100520795,37.664553206407625,
명동성당앞점,서울시 중구 명동길 73 1&2층  ,02-777-3363,서울특별시 중구 명동길 73 1&2층,서울특별시 중구 명동길 73 1&2층,126.98623647091166,37.56441066094545,
울산현대백화점점,울산광역시 남구 삼산로 261 현대백화점5층  ,052-228-0560,울산광역시 남구 삼산로 261 현대백화점5층,울산광역시 남구 삼산로 261 현대백화점5층,129.33581178208547,35.53956493136468,
대구중앙로점,대구광역시 중구 중앙대로 412-18  ,053-428-3370,대구광역시 중구 중앙대로 412-18,대구광역시 중구 중앙대로 412-18,128.5948443331882,35.86975712745384,
여의도교보증권카페점,서울시 영등포구 의사당대로 97 교보증권빌딩 2층  ,02-785-8845,서울특별시 영등포구 의사당대로 97 교보증권빌딩 2층,서울특별시 영등포구 의사당대로 97 교보증권빌딩 2층,126.92459182256933,37.52250893470141,
상봉엔터식스점,서울시 중랑구 망우로 353 프레미어스엠코 엔터식스 B동 2층  ,02-437-8891,서울특별시 중랑구 망우로 353 프레미어스엠코 엔터식스 B동 2층,서울특별시 중랑구 망우로 353 프레미어스엠코 엔터식스 B동 2층,127.09077157100491,37.59814580148578,
